weight,storage,brand,gpu,price,os,cpu,camera,screen_size,ram
2.0,1024,microsoft,NVIDIA GeForce GTX 1660 Ti,11999.0,Windows 11 Home,Core i7-11800H,1080p with Windows Hello Authentication,14.89,32
1.73,256,microsoft,NVIDIA GeForce RTX 3050,2254.33,Windows 10 Home,Core i3-i3-1115G4,HD,15.83,4
1.39,1024,dell,NVIDIA GeForce RTX 3050 Ti,2189.57,Windows 10 Home,Core i5-1135G7,720P HD Recessed,14.0,4
1.5,128,lenovo,NVIDIA GeForce MX450,3297.0,Windows 10 Home,Core i5-1035G7,HD,14.0,16
1.3,256,hp,AMD Radeon RX5500M,3484.41,Windows 10 Home,Core i5-1135G7,HD,12.4,4
1.19,512,asus,NVIDIA GeForce RTX 3060,3493.2,Chrome OS,Core i5-11300H,VGA,13.61,4
1.54,512,msi,NVIDIA GeForce MX450,6386.0,Windows 10 Home,Core i7-11800H,IR HD type (30fps@720p),15.0,8
1.25,1024,dell,Intel Iris Xe Graphics G7 96EUs,3789.13,Windows 10 Home,Core i5-1155G7,HD,13.47,16
1.71,128,acer,Intel Iris Xe Graphics,1999.0,Windows 10 Home,Core i3-1115G4,720p HD f2.0 camera (front-facing),15.6,16
1.42,32,huawei,NVIDIA GeForce RTX 3070 with Max-Q design,1680.41,Chrome OS,Pentium Silver N6000,HD 720p CMOS module,11.27,4
1.14,128,hp,AMD Radeon RX Vega 9,5642.33,Windows 10 Home,Core i7-10750H,720p HD Camera,13.7,8
1.96,512,msi,AMD Radeon RX Vega 8,5307.47,Windows 10 Pro,Core i7-11800H,720P HD,15.6,8
1.48,128,huawei,NVIDIA GeForce MX450,3024.19,Windows 10 Home,Core i5-1155G7,,13.69,4
1.43,256,msi,AMD Radeon RX Vega 6,3696.15,Windows 10 Home in S mode,Core i7-1165G7,VGA Web Camera (Fixed type),14.0,8
1.29,512,hp,NVIDIA GeForce GTX1650,4828.0,Windows 10 Home in S mode,Core i5-1135G7,HP Wide Vision 720p HD camera with integrated dual array digital microphones,14.13,8
0.0,512,asus,NVIDIA GeForce GTX 1650,3399.0,Windows 10 Home,Core i5-1035G7,,14.6,8
1.22,256,lenovo,NVIDIA GeForce MX450,2829.14,Windows 10 Home,Core i5-1135G7,,12.6,8
1.54,256,asus,NVIDIA GeForce RTX 3050 Ti,2371.85,Windows 10,Ryzen 3 5300U,HD,14.0,4
1.14,256,lenovo,Intel Iris Xe Graphics,3473.01,Windows 10 Home,Ryzen 9 5900HX, 720P HD Recessed camera,12.93,16
1.09,64,microsoft,NVIDIA GeForce RTX 3060 Max-Q,2402.88,Windows 10,Core i5-1035G1,720p,12.4,8
1.44,256,lenovo,Intel Iris Xe Graphics G7 96EUs,3190.16,Windows 10 Home,Core i5-11400H,HP TrueVision HD Camera with integrated dual array digital microphone,14.04,16
1.19,512,asus,Nvidia Geforce MX350,6671.19,Windows 10 Home 64,Core i5-11300H,,13.9,32
1.33,512,acer,NVIDIA GeForce MX250,3135.44,Windows 10 Home,Core i3-1115G4,HP TrueVision HD Camera with integrated dual array digital microphone,13.71,4
0.99,1024,hp,NVIDIA GeForce MX350,4941.44,Windows 10 Home,Core i5-1135G7,HD,13.52,8
1.29,2048,lenovo,NVIDIA GeForce GTX1650,7517.13,Windows 10 Home,Core i7-11370H,VGA,13.52,16
1.77,1024,hp,AMD Radeon RX Vega 8,4604.15,Windows 10 Home,Core i7-11370H,720p HD f2.0 camera (front-facing),16.14,16
1.14,128,lenovo,AMD Radeon RX Vega 7,4599.0,Windows 10 Pro,Core i7-11800H,720p HD camera,13.59,4
2.14,1024,msi,NVIDIA GeForce RTX 3060,5799.0,Windows 10 Home,Core i5-1135G7,HD,15.24,8
1.41,256,msi,AMD Radeon RX Vega 2,4956.41,Windows 10 Home,Core i5-1035G1, 720P HD Recessed camera,14.28,16
1.49,512,asus,NVIDIA GeForce RTX 3050,2722.99,Windows 10 Home,Core i5-11300H,  720p HD camera with microphone; IR camera,15.83,4
2.45,512,microsoft,NVIDIA GeForce MX450,3493.2,Windows 10 Home,Core i7-1165G7,720p,14.91,4
1.39,512,asus,NVIDIA GeForce MX250,5999.0,Windows 10 Home 64,Ryzen 7 5800H,,15.0,8
1.49,512,asus,NVIDIA GeForce GTX1650,2352.34,Windows 10 Pro,Celeron N4500,HP Wide Vision 720p HD camera with integrated dual array digital microphones,15.09,8
1.81,1024,msi,NVIDIA GeForce RTX 3050,2699.0,Windows 10 Home,Core i3-1005G1,HD,15.63,16
0.94,64,huawei,NVIDIA GeForce GTX1650,1687.4,Windows 10 Home,Ryzen 7 5800H ,720p HD f2.0,9.64,8
1.37,512,msi,NVIDIA GeForce MX450,2782.87,Windows 10 Home,Core i3-1115G4,VGA,14.0,16
1.69,256,hp,Intel Iris Xe Graphics G7 80EUs,2429.47,Windows 10 Home,Ryzen 7 5800H,"720p, with privacy shutter, fixed focus",16.0,8
2.47,1024,asus,AMD Radeon RX Vega 7,4108.61,Windows 10 Home 64,Ryzen 5 4680U,HP Wide Vision 720p HD camera with integrated dual array digital microphones,16.44,16
2.47,512,dell,NVIDIA GeForce MX350,5701.87,Windows 10 Home,Ryzen 9 5900HX,1080p with Windows Hello Authentication,16.1,8
1.38,512,microsoft,NVIDIA GeForce RTX 3050,2916.73,Windows 10 Home,Core i5-1155G7,HP True Vision 720p HD camera with integrated dual array digital microphones,14.0,8
1.17,256,lenovo,Intel Iris Xe Graphics,4578.06,Windows 11 Home,Core i7-1165G7,VGA Web Camera (Fixed type),14.27,32
1.09,512,huawei,AMD Radeon RX Vega 7,3197.0,Windows 10 Home,Core i3-i3-1115G4,HD,13.13,4
1.47,256,microsoft,NVIDIA GeForce GTX 1650,2989.23,Windows 10 Home,Ryzen 7 5800H,,14.0,16
1.35,256,huawei,NVIDIA GeForce GTX 1660 Ti,4163.77,Windows 10 Home 64,Core i5-1135G7,720p,13.4,8
1.71,512,hp,NVIDIA GeForce GTX1650,4313.55,Windows 10 Home,Core i5-11300H,IR HD type (30fps@720p),15.6,16
1.45,256,hp,NVIDIA GeForce MX350,2199.0,Windows 10 Home,i3-1115G4,HD type (30fps @ 720p),14.0,4
0.83,1024,huawei,NVIDIA GeForce RTX 3060,6437.45,Windows 10 Home,Core i5-11400H,HD type (30fps @ 720p),14.0,16
1.14,512,lenovo,AMD Radeon RX Vega 7,7999.0,Windows 10 Home,Core i7-10510U,HD,13.47,32
0.93,256,asus,NVIDIA GeForce MX450,2624.28,Windows 10 Home,Celeron N4500,1 MP,13.04,8
1.32,1024,msi,AMD Radeon RX Vega 8,3764.37,Windows 10 Pro,Core i5-1035G7,720p,13.72,16
0.9,512,hp,NVIDIA GeForce GTX 1650,3243.75,Windows 10 Home,Core i5-1135G7,HP Wide Vision 720p HD camera with integrated dual array digital microphones,13.16,4
2.19,512,acer,NVIDIA GeForce RTX 3050,5599.0,Windows 10 Home,Core i7-1195G7,,15.2,4
1.34,1024,lenovo,NVIDIA GeForce RTX 3050Ti,6011.52,Windows 10 Home 64,Core i5-11300H,HD,14.2,8
1.45,512,asus,NVIDIA GeForce GTX 1650,3428.08,Windows 11 Home,Core i3-1115G4,IR HD type (30fps@720p),13.88,8
2.73,1024,lenovo,Intel Iris Xe Graphics G7 80EUs,2866.41,Windows 11 Home,Intel Core i5-10210U,HP Wide Vision 720p HD camera with camera shutter and integrated dual array digital microphones,15.5,8
1.5,512,acer,NVIDIA GeForce MX250,2207.9,Windows 10 Home 64,Ryzen 7 5800H,720P HD,14.47,2
2.35,1024,msi,NVIDIA GeForce MX450,3914.33,Windows 10 Home,Intel Core i5-10210U,HP Wide Vision 720p HD camera with integrated dual array digital microphones,15.6,16
1.26,256,dell,AMD Radeon RX Vega 6,2371.69,Windows 10 Home,Ryzen 9 5900HX,	 HP True Vision 720p HD IR camera with camera shutter and integrated dual array digital microphones,13.52,2
1.74,256,acer,NVIDIA GeForce MX250,2458.36,Windows 10 Home,Core i3-1115G4,720p HD camera,13.9,2
1.57,256,acer,NVIDIA GeForce RTX 3050,3497.0,Windows 10 Home,Ryzen 5 5600U,1 MP,14.44,16
1.85,1024,lenovo,NVIDIA GeForce MX450,2404.66,Windows 10 Home,Core i5-1135G7,HD camera with IR function to support Windows Hello,14.53,8
2.2,256,microsoft,AMD Radeon RX Vega 7,4199.0,Windows 11 Home,Core i3-i3-1115G4,"720p HD Camera, excellent for Video Conferencing",14.92,8
2.2,2048,huawei,NVIDIA GeForce GTX 1650,12602.32,Windows 10 Home,Core i7-10750H,,16.24,64
1.7,512,dell,AMD Radeon RX Vega 6,2605.99,Windows 10 Home Single Language 64,Core i7-11800H,HD camera with IR function to support Windows Hello,15.53,4
1.69,256,lenovo,AMD Radeon Graphics,3088.64,Windows 10 Home 64,Athlon Silver 3050U,HD camera with IR function to support Windows Hello,14.64,4
1.64,512,microsoft,NVIDIA GeForce MX450,1699.0,Windows 10 Pro,Ryzen 7 4980U,HP Wide Vision 720p HD camera with integrated dual array digital microphones,16.09,8
1.3,1024,huawei,AMD Radeon RX Vega 7,2404.36,Windows 11 Home,Core i3-i3-1115G4,720p HD camera,13.35,8
1.56,128,asus,Intel Iris Xe Graphics G7 80EUs,2485.84,Windows 11 Home,Athlon Silver 3050U,VGA,13.51,4
2.3,512,lenovo,NVIDIA GeForce RTX 3050,6697.0,Windows 10 Home,Core i7-1195G7,720p with Privacy Shutter,16.1,32
1.41,256,lenovo,GeForce RTX 3060,2343.64,Windows 10 Home,Core i3-i3-1115G4,HD,13.83,2
1.43,512,acer,AMD Radeon Graphics,6855.24,Windows 10 Home,Core i7-10750H,HP True Vision 720p HD camera with integrated dual array digital microphones,14.32,32
2.9,256,lenovo,NVIDIA GeForce GTX 1650,7092.25,Windows 10 Home,Core i7-11800,720p HD,17.56,8
1.38,256,msi,NVIDIA GeForce GTX 1660 Ti,1899.0,Windows 10 Home,Ryzen 7 5800H ,HP Wide Vision 720p HD camera with integrated dual array digital microphones,13.55,4
1.63,1024,lenovo,NVIDIA GeForce GTX 1650,4297.0,Windows 10 Home,Core i5-8565U,HP True Vision 720p HD camera with integrated dual array digital microphones,14.3,8
1.43,1024,acer,NVIDIA GeForce MX350,4476.7,Windows 10 Pro 64,Core i5-1135G7,720p HD camera,14.88,4
1.74,256,huawei,AMD Radeon Graphics,1911.74,Windows 10 Home,Core i3-1115G4,HD,15.6,16
1.14,512,huawei,NVIDIA GeForce RTX 3050Ti,2100.11,Windows 10 Home,Celeron N4020,720P HD Recessed camera,14.0,8
1.14,512,acer,AMD Radeon RX Vega 6,5779.32,Windows 10 Home,Core i7-1165G7,720p HD Camera,13.19,4
2.3,1024,huawei,AMD Radeon RX Vega 6,5685.31,Windows 10 Home,Core i7-11370H,HP Wide Vision 720p HD camera with integrated dual array digital microphones,15.6,8
1.62,1024,acer,AMD Radeon RX Vega 7,5243.45,Windows 10 Home in S mode,Core i5-1035G7,HP Wide Vision 720p HD camera with integrated dual array digital microphones,13.94,4
2.19,256,huawei,NVIDIA GeForce GTX 1650,4099.0,Windows 11 Home,Core i5-11300H,720p with Privacy Shutter,15.6,4
1.79,512,lenovo,NVIDIA GeForce RTX 3050,2608.73,Windows 11 Home,Athlon Silver 3050U,720p HD,15.6,4
2.24,1024,acer,NVIDIA GeForce RTX 3050Ti,4079.08,Windows 11 Home,Core i7-12700H,HP Wide Vision 720p HD camera with integrated dual array digital microphones,15.49,4
2.22,512,dell,AMD Radeon RX Vega 8,4508.31,Windows 11 Home,i7-1185G7,HP Wide Vision 720p HD camera with integrated dual array digital microphones,15.59,8
1.64,256,acer,NVIDIA GeForce RTX 3050 Ti,2636.35,Windows 11 Home,Core i3-1115G4,HD,13.43,4
1.37,1024,microsoft,NVIDIA GeForce RTX 3050,4293.59,Windows 11 Home,Core i7-11800H,VGA,14.0,32
1.58,512,hp,Intel Iris Xe Graphics G7 96EUs,4895.14,Windows 11 Home,Core i5-11400H,720p HD,13.57,16
1.3,256,huawei,Intel Iris Xe Graphics G7 80EUs,1671.02,Windows 11 Home,Athlon Silver 3050U,	 HP True Vision 720p HD IR camera with camera shutter and integrated dual array digital microphones,14.0,4
1.34,1024,lenovo,NVIDIA GeForce RTX 3050Ti,7199.12,Windows 11 Home,Core i7-11370H,IR & 720p HD Camera with PrivacyShutter,13.5,16
2.12,512,asus,NVIDIA GeForce MX450,4699.0,Windows 11 Home,Pentium Silver N6000,IR & 720p HD Camera with PrivacyShutter,15.8,16
1.29,1024,dell,Intel Iris Xe Graphics,5728.27,Windows 11 Home,i3-10110U,,13.63,16
1.57,512,lenovo,NVIDIA GeForce GTX1650,5369.6,Windows 10 Home Single Language 64,Ryzen 9 5900HX,HP Wide Vision 720p HD camera with integrated dual array digital microphones,15.97,16
1.9,256,msi,AMD Radeon RX Vega 6,1625.0,Windows 11 Home,Celeron N4500,720p HD f2.0 camera (front-facing),15.6,2
1.85,1024,hp,AMD Radeon RX Vega 7,2399.0,Windows 11 Home,Core i3-1115G4,1,15.6,2
1.51,512,dell,NVIDIA GeForce RTX 3050Ti,3444.71,Windows 10 Home in S mode,Core i5-1155G7,HD,12.96,8
1.41,512,asus,Intel Iris Xe Graphics,3575.71,Windows 11 Home,Core i5-1035G7,720p,13.36,4
1.81,512,hp,Intel Iris Xe Graphics,3029.0,Windows 10 Pro,Core i5-1155G7,HD,15.96,16
1.65,1024,huawei,NVIDIA GeForce RTX 3050Ti,3461.12,Windows 11 Home,Core i5-11300H,HD camera with IR function to support Windows Hello,15.22,4
1.51,512,dell,NVIDIA GeForce MX350,3099.0,Windows 10 Home,Ryzen 7 5800H ,"720p HD Camera, excellent for Video Conferencing",15.6,4
1.41,512,huawei,NVIDIA GeForce GTX1650,1699.0,Windows 11 Home,Core i3-1115G4,"720p HD Camera, excellent for Video Conferencing",14.0,2
1.2,256,huawei,NVIDIA GeForce RTX 3060,2519.51,Windows 11 Home,Core i5-1135G7,HD,14.0,8
2.0,512,microsoft,NVIDIA GeForce MX250,2239.9,Windows 10 Home,Ryzen 3 5300U,1080p with Windows Hello Authentication,15.46,8
1.75,256,msi,NVIDIA GeForce MX450,7574.94,Windows 10 Home,Core i7-11370H,HP True Vision 720p HD camera with integrated dual array digital microphones,15.68,16
2.21,256,asus,NVIDIA GeForce MX350,2708.06,Windows 11 Home, Intel® Celeron® N4100,HD,15.49,8
2.38,512,asus,NVIDIA GeForce GTX 1660 Ti,8378.88,Windows 11 Home,Core i7-11800H,720p HD f2.0,16.02,16
1.69,512,huawei,NVIDIA GeForce RTX 3070 with Max-Q design,3961.41,Windows 10 Home,Ryzen 3 5300U,HD,14.17,4
1.32,256,microsoft,NVIDIA GeForce MX450,4823.41,Windows 11 Home,Ryzen 9 5900HX,HD,13.82,32
1.47,256,lenovo,Intel Iris Xe Graphics G7 96EUs,2599.0,Windows 10 Home 64,Core i7-1165G7,720p with Privacy Shutter,14.0,4
1.91,256,acer,Intel Iris Xe Graphics G7 80EUs,3799.0,Windows 10 Home 64,Core i5-11300H,720p HD,16.3,16
2.18,1024,dell,AMD Radeon RX Vega 7,5518.21,Windows 11 Home,Core i7-1065G7,VGA,15.58,8
1.7,1024,msi,NVIDIA GeForce GTX1650,3559.0,Windows 11 Home,Core i5-11300H,720p HD f2.0,15.62,16
1.12,512,hp,NVIDIA GeForce RTX™ 3060,5488.87,Windows 10 Home,Core i7-1165G7,720p with Privacy Shutter,13.41,8
2.45,256,hp,NVIDIA GeForce RTX 3070 with Max-Q design,7782.86,Windows 10 Home,Core i7-1165G7,HD,16.1,16
1.65,1024,dell,Intel Iris Xe Graphics G7 80EUs,3665.74,Windows 10 Home,Ryzen 5 PRO 4650U,HP Wide Vision HD camera with camera shutter and integrated dual array digital microphone,15.96,8
1.74,1024,msi,Intel Iris Xe Graphics G7 96EUs,5727.16,Windows 10 Home,Core i7-11370H,HD,15.65,16
1.86,512,msi,Intel Iris Xe Graphics G7 96EUs,4648.51,Windows 11 Home,Core i5-1135G7,HD,15.6,4
1.9,256,hp,Intel Iris Xe Graphics G7 80EUs,2699.0,Windows 11 Home,Core i3-i3-1115G4,HP Wide Vision 720p HD camera with integrated dual array digital microphones,15.15,4
1.41,512,microsoft,NVIDIA GeForce GTX 1650,1565.84,Windows 10 Home,Pentium Silver N6000,,14.0,4
1.0,512,acer,Intel Iris Xe Graphics G7 96EUs,4542.01,Chrome OS,Pentium Silver N6000,HP TrueVision HD Camera with integrated dual array digital microphone,13.07,8
2.06,256,dell,AMD Radeon RX Vega 6,4619.87,Windows 10 Home Single Language 64,Core i5-10210U,720p HD f2.0,15.02,16
1.62,256,dell,Intel Iris Xe Graphics G7 80EUs,6809.22,Windows 10 Pro,Core i7-1165G7,HD type (30fps @ 720p),14.44,32
1.18,512,hp,AMD Radeon RX Vega 3,4685.51,Windows 10 Home,Core i5-1035G1,1080p with Windows Hello Authentication,14.49,4
1.27,256,hp,Intel Iris Xe Graphics G7 80EUs,3247.81,Windows 10 Pro 64,Core i3-i3-1115G4,HD 720p CMOS module,13.86,2
1.85,256,dell,AMD Radeon RX Vega 7,4254.29,Windows 10 Home,Core i7-1165G7,HP True Vision 720p HD camera with integrated dual array digital microphones,14.27,16
1.4,1024,huawei,AMD Radeon RX Vega 7,2197.0,Windows 10 Home,Celeron N4020,HP Wide Vision 720p HD camera with integrated dual array digital microphones,13.86,16
0.8,256,huawei,NVIDIA GeForce RTX 3060,3160.48,Windows 10 Home in S mode,Ryzen 7 5800H,,13.41,16
1.52,512,msi,NVIDIA GeForce MX450,4041.4,Windows 10 Home,Core i5-1035G7,720p,14.0,16
1.37,1024,msi,Intel Iris Xe Graphics G7 80EUs,1201.44,Windows 10 Home,Celeron N4020,HP Wide Vision 720p HD camera with integrated dual array digital microphones,14.0,4
1.55,128,dell,NVIDIA GeForce MX250,2978.81,Windows 10 Home,Core i5-11400H,HD,14.0,8
1.15,1024,lenovo,AMD Radeon RX Vega 8,2198.02,Windows 10 Home,Pentium Silver N6000,,13.36,8
1.29,32,msi,AMD Radeon RX Vega 3,1631.71,Windows 11 Home,Ryzen 7 5800U,HP True Vision 720p HD camera with integrated dual array digital microphones,11.03,8
1.8,512,huawei,NVIDIA GeForce RTX 3060 Max-Q,2599.0,Windows 10 Home 64,Core i3-1115G4,IR Camera with Microphone & ThinkShutter,16.18,16
2.28,512,hp,Intel Iris Xe Graphics G7 80EUs,3799.0,Windows 10 Home,Athlon Silver 3050U,1080p with Windows Hello Authentication,16.1,8
1.54,1024,acer,AMD Radeon RX Vega 7,8299.0,Windows 10 Home,Core i7-10750H,720p HD f2.0 camera (front-facing),15.0,32
1.45,64,hp,NVIDIA GeForce GTX 1650,999.0,Windows 10 Home,Core i7-1185G7,HP Wide Vision 720p HD camera with integrated dual array digital microphones,11.48,8
1.68,128,microsoft,Intel Iris Xe Graphics G7 80EUs,7149.81,Windows 11 Home,Core i5-1135G7,HP True Vision 720p HD camera with integrated dual array digital microphones,14.48,32
1.83,1024,asus,Intel Iris Xe Graphics,10191.54,Windows 11 Home,Core i7-1185G7,HD,14.4,8
